id,gloss,count,speaker_role,language,target_child_name,target_child_age,target_child_sex,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id
13000774,Elch,2,Target_Child,deu,Leo,32.62489989527506,male,German,16,251,18301,18301,29660
13001361,Elch,3,Mother,deu,Leo,32.62489989527506,male,German,16,251,18302,18301,29660
13006723,Elch,2,Target_Child,deu,Leo,32.723464547526646,male,German,16,251,18301,18301,29664
13006997,Elch,1,Mother,deu,Leo,32.723464547526646,male,German,16,251,18302,18301,29664
13018025,Elch,1,Target_Child,deu,Leo,33.16495205240354,male,German,16,251,18301,18301,29676
13018440,Elch,3,Mother,deu,Leo,33.16495205240354,male,German,16,251,18302,18301,29676
13022318,Elch,1,Father,deu,Leo,33.16495205240354,male,German,16,251,18309,18301,29676
13023138,Elch,5,Target_Child,deu,Leo,33.230661820571264,male,German,16,251,18301,18301,29678
13023769,Elch,4,Investigator,deu,Leo,33.230661820571264,male,German,16,251,18303,18301,29678
13026799,Elch,1,Mother,deu,Leo,33.132097168319675,male,German,16,251,18302,18301,29675
13028693,Elch,1,Mother,deu,Leo,32.95344873611368,male,German,16,251,18302,18301,29670
13034342,Elch,2,Target_Child,deu,Leo,33.559210661409885,male,German,16,251,18301,18301,29688
13037745,Elch,4,Target_Child,deu,Leo,33.099242284235814,male,German,16,251,18301,18301,29674
13038272,Elch,15,Father,deu,Leo,33.099242284235814,male,German,16,251,18309,18301,29674
13045669,Elch,2,Investigator,deu,Leo,33.1978069364874,male,German,16,251,18303,18301,29677
13055223,Elch,1,Target_Child,deu,Leo,35.32926754142795,male,German,16,251,18301,18301,29743
13070447,Elch,1,Target_Child,deu,Leo,34.92063492063492,male,German,16,251,18301,18301,29730
13083158,Elch,1,Target_Child,deu,Leo,35.23070288917637,male,German,16,251,18301,18301,29740
13085236,Elch,1,Target_Child,deu,Leo,35.13213823692478,male,German,16,251,18301,18301,29738
13086019,Elch,1,Mother,deu,Leo,35.13213823692478,male,German,16,251,18302,18301,29738
13190412,Elch,1,Target_Child,deu,Leo,50.493849976385555,male,German,16,251,18301,18301,29842
13246283,Elch,1,Mother,deu eng,Corinna,18.42748311053615,female,German,16,252,18331,18330,29898
13256474,Elch,1,Investigator,deu eng,Corinna,22.09901640690774,female,German,16,252,18332,18330,29904
13291323,Elch,2,Target_Child,deu eng,Corinna,29.230579683361054,female,German,16,252,18330,18330,29919
13292070,Elch,5,Investigator,deu eng,Corinna,29.230579683361054,female,German,16,252,18346,18330,29919
13510604,Elch,1,Brother,deu,Pauline,57.29686441200025,female,German,16,252,18385,18383,30231
13536564,Elch,1,Mother,deu,Pauline,73.69145156984743,female,German,16,252,18384,18383,30244
13537009,Elch,1,Brother,deu,Pauline,73.69145156984743,female,German,16,252,18385,18383,30244
13538178,Elch,4,Investigator,deu,Pauline,73.69145156984743,female,German,16,252,18386,18383,30244
13544411,Elch,1,Target_Child,deu,Pauline,89.79034477093985,female,German,16,252,18383,18383,30259
13708826,Elch,1,Target_Child,deu,Sebastian,86.46173432719358,male,German,16,252,18403,18403,30392
12257837,Flunder,1,Target_Child,deu,Caroline,31.329185404217746,NA,German,16,246,17715,17715,28598
12807456,Flunder,1,Target_Child,deu,Leo,24.296186780016015,male,German,16,251,18301,18301,29406
12808022,Flunder,2,Father,deu,Leo,24.296186780016015,male,German,16,251,18309,18301,29406
12923365,Flunder,1,Mother,deu,Leo,28.32912380131009,male,German,16,251,18302,18301,29528
12731290,Gazelle,1,Mother,deu,Luisa,25.197642662066983,female,German,16,250,18234,18233,29306
13232061,Gazelle,2,Target_Child,deu,Leo,55.42824287973059,male,German,16,251,18301,18301,29865
